13198 libc.so.6->__rawmemchr(0x7bbdb7ed02e0, 0, 0x7ffc14eb4b40, 0x5ee8d0ff0038) = 0
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4383
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001aed, 10, 399, 10) = 0x5ee8d3001b34
13198 libc.so.6->strlen("# You should have received a cop"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4387
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001b35, 10, 399, 10) = 0x5ee8d3001b35
13198 libc.so.6->strlen("# along with this program; if no"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4340
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001b36, 10, 399, 10) = 0x5ee8d3001b7c
13198 libc.so.6->strlen("\n")                                 = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4386
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001b7d, 10, 399, 10) = 0x5ee8d3001bb2
13198 libc.so.6->strlen("# The format of this file is the"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4375
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001bb3, 10, 399, 10) = 0x5ee8d3001bd5
13198 libc.so.6->strlen("# the X Window System, which nor"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4362
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001bd6, 10, 399, 10) = 0x5ee8d3001c1d
13198 libc.so.6->strlen("#\t/usr/lib/X11/locale/locale.ali"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4387
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001c1e, 10, 399, 10) = 0x5ee8d3001c41
13198 libc.so.6->strlen("# A single line contains two fie"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4363
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001c42, 10, 399, 10) = 0x5ee8d3001c42
13198 libc.so.6->strlen("# All entries are case independe"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4340
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001c43, 10, 399, 10) = 0x5ee8d3001c8a
13198 libc.so.6->strlen("\n")                                 = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4387
13198 libc.so.6->_dl_allocate_tls(0x5ee8d3001c8b, 10, 399, 10) = 0x5ee8d3001cd3
13198 libc.so.6->strlen("# Note: This file is obsolete an"...) = 140720659448640
13198 libc.so.6->strcpy(0x7ffc14eb4340, "\n\v\f\r\016\017\020\021\022\023\024\025\026\027\030\031\032\033\034\035\036\037 !"#$%&'()"...) = 0x7ffc14eb4388
